Rank,University,Location
911,Grambling State University,Grambling
912,Hollins University,Roanoke
913,College of the Atlantic,Bar Harbor
914,Bemidji State University,Bemidji
915,Asbury University,Wilmore
916,Campbellsville University,Campbellsville
917,Point Park University,Pittsburgh
918,Meredith College,Raleigh
919,Whitworth University,Spokane
920,West Coast University-Los Angeles,North Hollywood
921,Farmingdale State College,Farmingdale
922,Millikin University,Decatur
923,MCPHS University,Boston ...
924,Lincoln University,Lincoln University
925,Dallas Baptist University,Dallas
926,Emory & Henry College,Emory ...
927,Lewis-Clark State College,Lewiston ...
928,Albany State University,Albany
929,Hartwick College,Oneonta
930,Stevenson University,Stevenson ...
931,Lebanon Valley College,Annville
932,McNeese State University,Lake Charles
933,New England College,Henniker
934,Concordia University Texas,Austin
935,Moody Bible Institute,Chicago
936,Western Colorado University,Gunnison
937,Viterbo University,La Crosse
938,Daemen University,Amherst
939,Bank Street College of Education,New York City
940,Framingham State University,Framingham
941,Post University,Waterbury
942,Oglethorpe University,Atlanta
943,PennWest Edinboro,Edinboro
944,Rogers State University,Claremore
945,Gannon University,Erie
946,Manhattanville College,Purchase
947,Louisiana State University Health Sciences Center-Shreveport,Shreveport
948,South Texas College of Law,Houston
949,University of Wisconsin-Superior,Superior
950,Life University,Marietta
951,Nicholls State University,Thibodaux
952,South Carolina State University,Orangeburg
953,Manhattan School of Music,New York City
954,Misericordia University,Dallas
955,Rockhurst University,Kansas City
956,La Sierra University,Riverside
957,Transylvania University,Lexington
958,Christian Brothers University,Memphis
959,Bridgewater College,Bridgewater
960,Rosalind Franklin University of Medicine and Science,North Chicago
961,Curtis Institute of Music,Philadelphia
962,Ottawa University,Ottawa ...
963,Davenport University,Grand Rapids ...
964,Trinity International University,Deerfield ...
965,Ringling College of Art and Design,Sarasota
966,Husson University,Bangor
967,Randolph-Macon College,Ashland
968,Pacific Union College,Angwin
969,Central College,Pella
970,Roberts Wesleyan University,Rochester
971,Endicott College,Beverly
972,Palm Beach Atlantic University,West Palm Beach ...
973,Edgewood College,Madison
974,University of Houston-Victoria,Victoria
975,Our Lady of the Lake University,San Antonio
976,Louisiana State University in Shreveport,Shreveport ...
977,Shawnee State University,Portsmouth
978,Capitol Technology University,Laurel
979,Marywood University,Scranton
980,Saint Vincent College,Latrobe
981,Adams State University,Alamosa
982,Metropolitan State University,Saint Paul
983,Scripps College,Claremont
984,Austin College,Sherman
985,Unity Environmental University,New Gloucester
986,"Westminster College, Pennsylvania",New Wilmington
987,"Anderson University, Indiana",Anderson ...
988,Warren Wilson College,Swannanoa
989,Delta State University,Cleveland
990,Des Moines University,Des Moines
991,Hampden-Sydney College,Hampden-Sydney
992,Southwestern Law School,Los Angeles
993,University of Hawaii at Hilo,Hilo
994,Keck Graduate Institute,Claremont
995,Worcester State University,Worcester
996,Molloy University,Rockville Centre
997,Central State University,Wilberforce
998,Oklahoma Christian University,Edmond ...
999,"Lincoln University, Missouri",Jefferson City
1000,University of Mary Hardin-Baylor,Belton
